R (2014),Pollster (2014),# of Polls (2014),Predictive    Plus-Minus(2014),538 Grade (2014),Mean-Reverted Bias (2014),Races Called Correctly (2014),Bias (2014),House Effect (2014)
320,20/20 Insight,5,1.2,D+,D +0.0,40%,D +0.2,D +2.0
279,A&A Research,1,0.8,C-,R +0.3,0%,R +10.1,
304,Abacus Associates,2,1,C-,R +0.0,50%,R +0.5,D +6.5
12,ABC News/Washington Post,50,-0.7,A-,D +0.6,78%,D +1.0,D +1.8
106,Alabama State University,4,0.3,C+,,50%,,
260,American Research Group,223,0.8,C-,R +0.1,75%,R +0.1,R +1.7
87,American Viewpoint,5,0.2,B-,R +0.7,60%,R +4.6,R +3.2
227,Analytical Group,1,0.7,C,D +0.1,100%,D +4.0,D +3.0
300,Anderson Group,1,0.9,C-,R +0.4,0%,R +10.9,R +5.0
42,Angus Reid Global,29,-0.2,B,R +1.3,93%,R +2.7,D +0.8
286,Anzalone Liszt Grove Research,11,0.9,C-,D +1.4,55%,D +5.1,D +7.7
209,Arizona State University,8,0.7,C,D +0.9,100%,D +5.5,D +6.5
293,Arthur J. Finkelstein & Associates,1,0.9,C-,R +0.4,0%,R +13.7,
238,ASA Marketing Group,1,0.7,C,D +0.2,100%,D +5.5,
205,Aspen Media & Market Research,1,0.6,C,R +0.1,100%,R +3.5,
140,"Ayres, McHenry & Associates",2,0.4,C+,R +0.4,50%,R +7.0,R +7.0
298,Bannon Communications,2,0.9,C-,D +0.6,100%,D +10.4,D +8.3
164,"Baselice & Associates, Inc.",2,0.5,C+,D +0.2,100%,D +7.0,
290,Basswood Research,1,0.9,C-,R +0.4,100%,R +13.0,
322,Baydoun Consulting,6,1.3,D,R +1.0,83%,R +8.8,R +6.6
255,Becker Institute,3,0.8,C-,D +0.7,67%,D +7.6,D +0.8
14,Behavior Research Center (Rocky Mountain),7,-0.6,A-,D +0.1,71%,D +0.6,R +2.1
98,Belden Russonello,2,0.3,C+,D +0.2,100%,D +3.3,D +5.7
233,Benenson Strategy Group,8,0.7,C,D +0.5,56%,D +2.6,D +8.0
145,Bennett Petts & Blumenthal,9,0.4,C+,D +0.3,67%,D +1.5,D +4.0
302,Big Ten,10,1,C-,D +1.1,100%,D +4.5,D +5.5
196,BIGresearch,1,0.6,C,,100%,,
7,Blum & Weprin Associates,18,-0.9,A,R +1.0,94%,R +3.0,D +1.2
169,Braun Research,3,0.5,C+,D +0.8,100%,D +9.1,D +8.7
317,Brown University,8,1.2,D+,R +0.5,88%,R +3.6,R +0.7
280,"California State University, Bakersfield",1,0.8,C-,R +0.3,0%,R +9.9,R +14.0
120,CallFire,4,0.4,C+,R +0.5,75%,R +3.9,R +0.4
178,Canisius College,1,0.6,C,,100%,,
102,Capital Survey Research Center,11,0.3,C+,D +0.1,36%,D +0.6,D +1.1
40,Castleton University,1,-0.2,B,,100%,,
37,CBS News/New York Times,54,-0.2,B,D +0.7,75%,D +1.1,D +2.2
271,ccAdvertising,29,0.8,C-,R +2.6,91%,R +5.3,R +3.4
200,"Central Surveys, Inc.",1,0.6,C,D +0.1,0%,D +1.7,D +2.3
291,Cherry Communications,1,0.9,C-,,50%,,
124,Christopher Newport University,2,0.4,C+,D +0.4,100%,D +7.1,D +1.6
3,Ciruli Associates,17,-1,A+,R +0.7,94%,R +2.1,R +2.5
79,Clarity Campaign Labs,1,0.1,B-,R +0.0,100%,R +0.0,D +5.5
126,Clarus Research Group,3,0.4,C+,D +0.5,100%,D +8.1,D +2.2
128,Clemson University,4,0.4,C+,R +0.5,100%,R +16.7,R +9.7
17,CNN/Opinion Research Corp.,72,-0.6,A-,R +0.6,80%,R +0.9,D +0.2
69,Cole Hargrave Snodgrass & Associates,3,0.1,B-,D +0.3,100%,D +3.4,R +2.3
187,Columbus Dispatch,17,0.6,C,D +1.1,97%,D +3.5,D +5.1
160,Commonwealth Foundation,2,0.5,C+,R +0.3,75%,R +4.1,D +2.5
245,Constituent Dynamics,7,0.7,C,R +0.0,86%,R +1.3,D +2.3
307,Consumer Logic,4,1,C-,D +0.6,50%,D +5.4,D +2.3
192,Cooper & Secrest,1,0.6,C,R +0.1,0%,R +2.6,
189,Cranford & Associates,1,0.6,C,D +0.1,100%,D +2.5,D +9.5
115,Crawford Johnson & Northcott Inc.,5,0.4,C+,D +0.1,100%,D +3.2,
303,Critical Insights,17,1,C-,D +0.3,88%,D +0.9,R +1.8
241,Cromer Group,1,0.7,C,R +0.1,100%,R +3.9,R +3.8
270,CrossTarget,2,0.8,C-,R +0.5,100%,R +7.7,R +13.3
222,CVOTER International,3,0.7,C,R +0.3,100%,R +2.9,D +0.7
201,Dan Jones & Associates,28,0.6,C,D +1.0,96%,D +2.1,R +0.1
332,Dane & Associates,2,1.5,D,R +1.3,50%,R +21.2,R +10.5
96,Dartmouth College,2,0.3,C+,,100%,,
326,Data West Polling,3,1.3,D,D +1.3,33%,D +14.6,D +8.3
313,Datamar,8,1.1,D+,R +0.4,69%,R +2.9,R +3.3
24,"Davis, Hibbitts & Midghall, Inc.",11,-0.4,B+,R +0.0,91%,R +0.2,D +0.8
263,Decision Forecasting,3,0.8,C-,R +0.1,100%,R +1.4,D +0.5
133,DFM Research,3,0.4,C+,D +0.6,33%,D +6.5,D +5.7
191,Dittman Research,9,0.6,C,D +1.0,100%,D +6.1,D +0.7
214,Diversified Research Inc,1,0.7,C,R +0.2,100%,R +5.0,
297,Dixie Strategies,1,0.9,C-,,50%,,
179,"Dynamic Marketing, Inc.",1,0.6,C,D +0.1,100%,D +3.0,R +7.5
261,Ed Renwick,5,0.8,C-,D +0.1,80%,D +1.3,D +6.4
52,Elon University,3,-0.1,B,D +0.2,67%,D +2.4,D +3.7
5,Elway Research,16,-0.9,A,D +0.5,88%,D +1.5,D +4.6
153,Emerson College,2,0.5,C+,R +0.0,100%,R +0.4,R +2.3
44,EPIC-MRA,38,-0.2,B,R +0.3,82%,R +0.6,D +1.2
105,"Ethridge & Associates, LLC",6,0.3,C+,R +0.1,83%,R +0.7,R +3.4
78,"Fabrizio, Lee & Associates",1,0.1,B-,R +0.0,100%,R +0.1,R +2.3
123,"Fairbank, Maslin, Maullin, Metz & Associates",7,0.4,C+,D +1.0,79%,D +5.5,D +6.9
16,Fairleigh Dickinson University (PublicMind),17,-0.6,A-,R +0.0,94%,R +0.0,D +3.3
139,Feldman Group,1,0.4,C+,D +0.3,0%,D +10.8,
1,Field Research Corporation (Field Poll),23,-1.3,A+,R +1.1,100%,R +3.3,D +0.8
116,Financial Dynamics,15,0.4,C+,R +0.7,100%,R +2.0,R +2.1
46,Fleming & Associates,14,-0.2,B,R +0.5,100%,R +1.6,R +0.3
157,Florida International University/Univision,1,0.5,C+,D +0.1,100%,D +1.8,R +13.0
226,Forman Center,1,0.7,C,D +0.1,100%,D +2.6,D +4.3
181,Forward Strategies,2,0.6,C,D +0.1,100%,D +1.3,D +3.4
57,Fox News/Anderson Robbins Research/Shaw & Company Research,4,0,B,R +0.4,38%,R +3.4,R +1.0
108,Fox News/Opinion Dynamics Corp.,34,0.3,C+,R +0.5,72%,R +1.0,R +1.6
135,"Frank N. Magid Associates, Inc.",4,0.4,C+,D +0.5,100%,D +4.6,R +0.9
23,Franklin & Marshall College,15,-0.4,B+,R +0.5,93%,R +1.4,D +0.4
268,Franklin Pierce University,19,0.8,C-,D +1.3,82%,D +4.5,D +5.1
130,Frederick Polls,2,0.4,C+,R +0.0,75%,R +0.6,D +3.0
129,Gallup,80,0.4,C+,R +0.8,71%,R +1.2,R +1.7
