R(2016),Pollster (2016),# of Polls (2016),Predictive    Plus-Minus (2016),538 Grade (2016),Mean-Reverted Bias (2016),Races Called Correctly (2016),Bias (2016),House Effect (2016)
348,20/20 Insight,5,1.2,C-,D +0.0,40%,D +0.2,D +2.0
297,A&A Research,1,0.8,C,R +0.3,0%,R +10.1,
327,Abacus Associates,2,1,C,R +0.0,50%,R +0.5,D +6.5
6,ABC News/Washington Post,51,-0.9,A+,D +0.6,78%,D +1.0,D +1.7
161,Alabama State University,4,0.5,B-,,50%,,
260,American Research Group,260,0.7,C+,R +0.1,75%,R +0.2,R +1.7
69,American Viewpoint,6,0,B,R +0.6,67%,R +3.8,R +4.0
239,Analytical Group,1,0.7,C+,D +0.1,100%,D +4.0,D +3.0
324,Anderson Group,1,1,C,R +0.4,0%,R +10.9,R +5.0
24,Angus Reid Global,29,-0.4,A-,R +1.3,93%,R +2.7,D +0.8
323,Anzalone Liszt Grove Research,11,1,C,D +1.4,55%,D +5.1,D +7.7
92,APC Research,2,0.2,B,D +0.2,100%,D +2.5,R +0.6
240,Arizona State University,8,0.7,C+,D +0.9,100%,D +5.5,D +6.5
314,Arthur J. Finkelstein & Associates,1,0.9,C,R +0.4,0%,R +13.7,
251,ASA Marketing Group,1,0.7,C+,D +0.2,100%,D +5.5,
224,Aspen Media & Market Research,1,0.7,C+,R +0.1,100%,R +3.5,
322,Bannon Communications,2,1,C,D +0.6,100%,D +10.4,D +8.3
125,Baruch College,2,0.3,B-,,100%,,
187,"Baselice & Associates, Inc.",2,0.6,C+,D +0.2,100%,D +7.0,
268,Basswood Research,2,0.8,C+,R +0.4,100%,R +13.1,
356,Baydoun Consulting,6,1.3,C-,R +1.0,83%,R +8.7,R +6.6
276,Becker Institute,3,0.8,C+,D +0.7,67%,D +7.6,D +0.8
19,Behavior Research Center (Rocky Mountain),7,-0.6,A,D +0.1,71%,D +0.6,R +2.1
129,Belden Russonello,2,0.3,B-,D +0.2,100%,D +3.3,D +5.7
141,Benenson Strategy Group,9,0.4,B-,D +0.7,50%,D +2.8,D +7.6
325,Big Ten,10,1,C,D +1.1,100%,D +4.5,D +5.5
217,BIGresearch,1,0.7,C+,,100%,,
20,Blum & Weprin Associates,18,-0.6,A,R +1.0,94%,R +3.0,D +1.2
190,Braun Research,3,0.6,C+,D +0.8,100%,D +9.1,D +8.7
365,Brigham Young University,4,1.5,D+,D +1.9,75%,D +16.5,D +23.9
