R (2018),Pollster (2018),# of Polls (2018),Predictive    Plus-Minus (2018),538 Grade (2018),Mean-Reverted Bias (2018),Races Called Correctly (2018),Bias (2018),House Effect (2018)
276,20/20 Insight,3,0.7,C+,D +0.0,67%,D +0.2,D +2.0
312,A&A Research,1,0.8,C,R +0.3,0%,R +10.1,
360,Abacus Associates,2,1,C,R +0.0,50%,R +0.5,D +6.5
4,ABC News/Washington Post,60,-1.1,A+,D +0.6,78%,D +0.9,D +1.5
38,Abt Associates,8,-0.3,B+,D +0.7,88%,D +3.8,D +0.7
182,Alabama State University,4,0.5,B-,,50%,,
224,American Research Group,263,0.6,C+,R +0.2,75%,R +0.3,R +1.9
67,American Viewpoint,6,0,B+,R +0.6,67%,R +3.8,R +3.2
267,Analytical Group,1,0.7,C+,D +0.1,100%,D +4.0,D +3.0
351,Anderson Group,1,1,C,R +0.4,0%,R +10.9,R +5.0
31,Angus Reid Global,30,-0.4,A-,R +1.3,93%,R +2.6,D +0.9
342,Anzalone Liszt Grove Research,11,0.9,C,D +1.4,55%,D +5.1,D +7.7
98,APC Research,2,0.2,B,D +0.2,100%,D +2.5,R +0.6
228,Arizona State University,8,0.6,C+,D +0.9,100%,D +5.5,D +6.5
337,Arthur J. Finkelstein & Associates,1,0.9,C,R +0.4,0%,R +13.7,
277,ASA Marketing Group,1,0.7,C+,D +0.2,100%,D +5.5,
242,Aspen Media & Market Research,1,0.7,C+,R +0.1,100%,R +3.5,
130,Associated Industries of Florida,2,0.3,B-,D +0.2,50%,D +3.4,D +1.0
347,Bannon Communications,2,1,C,D +0.6,100%,D +10.4,D +8.3
133,Baruch College,2,0.3,B-,,100%,,
203,"Baselice & Associates, Inc.",2,0.5,B-,R +0.2,100%,R +3.0,R +8.8
144,Basswood Research,2,0.3,B-,R +0.4,100%,R +13.1,
374,Baydoun Consulting,6,1.2,C-,R +1.0,83%,R +8.7,R +6.6
294,Becker Institute,3,0.8,C+,D +0.7,67%,D +7.6,D +0.8
19,Behavior Research Center (Rocky Mountain),7,-0.6,A-,D +0.1,71%,D +0.6,R +2.1
137,Belden Russonello,2,0.3,B-,D +0.2,100%,D +3.3,D +5.7
136,Bendixen & Amandi International,2,0.3,B-,D +0.1,100%,D +1.6,D +3.0
155,Benenson Strategy Group,9,0.4,B-,D +0.7,50%,D +2.8,D +7.6
338,Big Ten,10,0.9,C,D +1.1,100%,D +4.5,D +5.5
241,BIGresearch,1,0.7,C+,D +0.1,100%,D +2.0,D +7.5
204,BK Strategies,3,0.5,C+,D +0.3,67%,D +3.6,R +2.9
20,Blum & Weprin Associates,18,-0.6,A-,R +1.0,94%,R +3.0,D +1.2
123,Braun Research,6,0.2,B,D +1.1,100%,D +6.6,D +2.8
389,Brigham Young University,4,1.8,D,D +1.9,75%,D +16.5,D +16.5
375,Brown University,12,1.2,C-,R +0.4,83%,R +2.2,R +0.7
325,"California State University, Bakersfield",1,0.9,C,R +0.3,0%,R +9.9,R +14.0
143,CallFire,4,0.3,B-,R +0.5,75%,R +3.9,R +0.4
233,Canisius College,1,0.7,C+,,100%,,
156,Capital Survey Research Center,11,0.4,B-,D +0.1,36%,D +0.6,D +1.1
39,Castleton University,3,-0.3,B+,,100%,,
21,CBS News/New York Times,53,-0.5,A-,D +0.4,76%,D +0.7,D +1.8
341,ccAdvertising,30,0.9,C,R +2.5,88%,R +5.1,R +3.2
243,"Central Surveys, Inc.",1,0.7,C+,D +0.1,0%,D +1.7,D +2.3
135,Centre College,1,0.3,B-,D +0.1,100%,D +3.9,D +2.3
284,Change Research,7,0.7,C+,R +0.8,57%,R +4.2,D +0.0
176,Cherry Communications,3,0.5,B-,R +0.4,50%,R +5.9,R +6.3
69,Christopher Newport University,7,0,B+,D +0.5,100%,D +2.6,D +1.2
6,Ciruli Associates,17,-1,A+,R +0.7,94%,R +2.1,R +2.5
197,Clarity Campaign Labs,10,0.5,B-,D +0.9,45%,D +3.6,D +0.8
141,Clarus Research Group,3,0.3,B-,D +0.6,100%,D +6.8,D +2.2
73,Clemson University,5,0,B,R +0.5,100%,R +16.7,R +9.7
365,Clout Research/Wenzel Strategies,12,1.1,C,R +1.7,50%,R +6.3,R +4.5
44,CNN/Opinion Research Corp.,98,-0.2,B+,D +0.1,72%,D +0.1,D +0.1
82,Cole Hargrave Snodgrass & Associates,4,0.1,B,D +0.3,75%,D +3.4,R +2.3
278,Columbus Dispatch,20,0.7,C+,D +1.3,93%,D +3.6,D +3.4
256,Constituent Dynamics,7,0.7,C+,R +0.0,86%,R +1.3,D +2.3
364,Consumer Logic,4,1.1,C,D +0.6,50%,D +5.4,D +2.3
237,Cooper & Secrest,1,0.7,C+,R +0.1,0%,R +2.6,
383,CPEC LLC,3,1.4,C-,,100%,,
327,Craciun Research Group,1,0.9,C,D +0.6,0%,D +18.7,D +11.3
239,Cranford & Associates,1,0.7,C+,D +0.1,100%,D +2.5,D +9.5
166,Crawford Johnson & Northcott Inc.,5,0.4,B-,D +0.1,100%,D +3.3,
352,Critical Insights,17,1,C,D +0.3,88%,D +0.9,R +1.8
285,Cromer Group,1,0.7,C+,R +0.1,100%,R +3.9,R +3.8
306,CrossTarget,2,0.8,C+,R +0.5,100%,R +7.7,R +13.3
253,CSP Polling,1,0.7,F,D +0.1,100%,D +2.6,R +2.6
192,CVOTER International,5,0.5,B-,R +0.3,100%,R +1.8,R +0.3
124,Cygnal,2,0.2,B,D +0.3,100%,D +5.2,R +3.4
223,Dan Jones & Associates,35,0.6,C+,D +1.1,97%,D +2.1,R +2.6
386,Dane & Associates,2,1.6,D+,R +1.3,50%,R +21.2,R +10.5
131,Dartmouth College,2,0.3,B-,,100%,,
58,Data Orbital,7,-0.1,B+,D +0.1,100%,D +0.4,R +2.6
369,Data West Polling,2,1.1,C-,D +0.8,50%,D +13.1,D +7.5
354,Datamar,8,1,C,R +0.4,69%,R +2.9,R +3.3
62,"Davis, Hibbitts & Midghall, Inc.",14,-0.1,B+,R +0.1,86%,R +0.3,D +0.3
251,DCCC Targeting Team,1,0.7,C+,D +0.1,100%,D +4.5,
321,Decision Forecasting,3,0.8,C,R +0.1,100%,R +1.4,D +0.5
163,DFM Research,8,0.4,B-,D +1.5,69%,D +6.9,D +2.9
254,Diamond State Consulting Group,1,0.7,C+,D +0.1,100%,D +4.2,R +5.0
127,Dittman Research,9,0.3,B,D +1.0,100%,D +6.1,D +0.7
250,Diversified Research Inc,1,0.7,C+,R +0.2,100%,R +5.0,
179,Dixie Strategies,6,0.5,B-,R +0.1,92%,R +1.1,R +3.4
217,Douglas Fulmer & Associates,2,0.6,C+,,100%,,
236,"Dynamic Marketing, Inc.",1,0.7,C+,D +0.1,100%,D +3.0,R +7.5
376,Ed Renwick,7,1.3,C-,D +0.3,86%,D +1.7,D +2.5
28,Elon University,7,-0.4,A-,D +0.5,50%,D +2.7,D +1.1
5,Elway Research,21,-1.1,A+,D +0.5,90%,D +1.2,D +3.2
40,Emerson College,85,-0.3,B+,D +0.1,75%,D +0.2,R +1.8
41,EPIC-MRA,45,-0.3,B+,R +0.2,80%,R +0.3,D +0.8
150,"Ethridge & Associates, LLC",6,0.3,B-,R +0.1,83%,R +0.7,R +3.4
116,"Fabrizio, Lee & Associates",2,0.2,B,D +0.4,50%,D +5.8,R +1.3
160,"Fairbank, Maslin, Maullin, Metz & Associates",7,0.4,B-,D +1.0,79%,D +5.5,D +6.9
15,Fairleigh Dickinson University (PublicMind),18,-0.7,A,D +0.0,94%,D +0.1,D +3.1
170,Feldman Group,1,0.4,B-,D +0.3,0%,D +10.8,
3,Field Research Corporation (Field Poll),25,-1.1,A+,R +1.2,100%,R +3.3,D +0.6
142,Financial Dynamics,15,0.3,B-,R +0.7,100%,R +2.0,R +2.1
45,Fleming & Associates,15,-0.2,B+,R +0.3,100%,R +1.0,R +0.2
220,Florida Atlantic University,4,0.6,C+,D +0.3,75%,D +4.1,D +1.7
119,Florida International University/Univision,1,0.2,B,D +0.1,100%,D +1.8,R +13.0
173,Florida Poll,6,0.4,B-,D +0.6,67%,D +3.3,D +1.6
264,Forman Center,1,0.7,C+,D +0.1,100%,D +2.6,D +4.3
391,Fort Hays State University,6,1.9,D,R +1.2,67%,R +18.8,R +27.7
219,Forward Strategies,2,0.6,C+,D +0.1,100%,D +1.3,D +3.4
16,Fox News/Anderson Robbins Research/Shaw & Co. Research,31,-0.7,A,D +0.6,69%,D +1.8,D +0.9
89,Fox News/Opinion Dynamics Corp.,34,0.1,B,R +0.5,72%,R +1.0,R +1.6
193,"Frank N. Magid Associates, Inc.",4,0.5,B-,D +0.5,100%,D +4.6,R +0.9
159,Franklin & Marshall College,19,0.4,B-,D +0.1,84%,D +0.4,D +1.4
172,Franklin Pierce University,21,0.4,B-,D +1.3,83%,D +4.5,D +5.1
97,Frederick Polls,2,0.2,B,R +0.0,75%,R +0.6,D +3.0
110,Gallup,79,0.2,B,R +0.9,71%,R +1.3,R +1.6
336,GaPundit.com,2,0.9,C,D +0.5,25%,D +8.3,D +3.0
66,Garin-Hart-Yang Research Group,23,-0.1,B+,D +1.5,85%,D +3.5,D +4.6
87,GBA Strategies,3,0.1,B,R +0.0,67%,R +0.2,D +4.0
339,GCR & Associates,1,0.9,C,,100%,,
126,George Washington University (Battleground),31,0.3,B,R +1.0,55%,R +1.9,R +2.0
90,GfK Group,21,0.1,B,D +0.3,88%,D +0.6,D +1.2
332,Glascock Group,1,0.9,C,R +0.4,0%,R +12.1,
103,"Glengariff Group, Inc.",7,0.2,B,R +0.1,71%,R +0.5,D +1.9
301,Global Strategy Group,22,0.8,C+,D +2.0,68%,D +4.6,D +5.1
80,Global Strategy Group/National Research (Philadelphia Inquirer),4,0.1,B,R +0.3,100%,R +2.7,D +0.1
189,Glover Park Group,1,0.5,B-,R +0.4,0%,R +11.4,R +11.5
171,Gonzales Research & Marketing Strategies Inc.,9,0.4,B-,R +0.4,78%,R +2.1,R +1.4
358,Google Consumer Surveys,24,1,C,R +0.1,92%,R +0.2,R +0.7
268,Gordon S. Black Corp.,2,0.7,C+,R +0.4,100%,R +6.3,R +1.7
281,Gravis Marketing,108,0.7,C+,D +0.6,67%,D +0.9,R +0.9
